"","FacilityId","County","FacilityName","Unknown","UnknownNotLead","Flagged","Difference","Flagged2"
"1","IL0010050","Adams","Camp Point (PWS)",0,0,"No",0,"No"
"2","IL0010100","Adams","Clayton (PWS)",0,0,"No",0,"No"
"3","IL0010250","Adams","Golden (PWS)",0,0,"No",0,"No"
"4","IL0010300","Adams","La Prairie (PWS)",0,0,"No",0,"No"
"5","IL0010350","Adams","Liberty (PWS)",0,0,"No",0,"No"
"6","IL0010400","Adams","Lima (PWS)",0,0,"No",0,"No"
"7","IL0010450","Adams","Loraine (PWS)",0,0,"No",0,"No"
"8","IL0010500","Adams","Mendon (PWS)",0,0,"No",0,"No"
"9","IL0010550","Adams","Payson (PWS)",0,0,"No",0,"No"
"10","IL0010600","Adams","Plainville (PWS)",0,0,"No",0,"No"
"11","IL0010650","Adams","Quincy (PWS)",0,0,"No",0,"No"
"12","IL0010700","Adams","Ursa (PWS)",0,0,"No",0,"No"
"13","IL0015150","Adams","Adams County Water District No 1 (PWS)",0,0,"No",0,"No"
"14","IL0015200","Adams","Clayton-Camp-Point Water Commission (PWS)",0,0,"No",0,"No"
"15","IL0015300","Adams","Mill Creek PWD (PWS)",-156,0,"No",-156,"No"
"16","IL0015350","Adams","ABS Water Coop (PWS)",0,0,"No",0,"No"
"17","IL0015500","Adams","Illinois Veterans Home (Quincy)",0,0,"No",0,"No"
"18","IL0015545","Adams","Expressway MHP (PWS)",0,0,"No",0,"No"
"19","IL0030020","Alexander","Southwater Inc (PWS)",0,0,"No",0,"No"
"20","IL0030100","Alexander","Tamms (PWS)",0,0,"No",0,"No"
"21","IL0030150","Alexander","Thebes (PWS)",0,0,"No",0,"No"
"22","IL0035030","Alexander","Illinois American - Cairo (PWS)",-1170,2627,"Yes",1457,"No"
"23","IL0035050","Alexander","Mcclure-East Cape Pwd (PWS)",0,0,"No",0,"No"
"24","IL0035100","Alexander","Central Alexander County PWD (PWS)",0,0,"No",0,"No"
"25","IL0050020","Bond","Bond-Madison Water Company (PWS)",0,233,"No",233,"No"
"26","IL0050050","Bond","Greenville-Wtp (PWS)",-13,0,"No",-13,"No"
"27","IL0050100","Bond","Mulberry Grove (PWS)",-39,39,"Yes",0,"Yes"
"28","IL0050200","Bond","Pocahontas (PWS)",-5,0,"No",-5,"No"
"29","IL0050250","Bond","Smithboro (PWS)",0,0,"No",0,"No"
"30","IL0050300","Bond","Sorento (PWS)",-6,0,"No",-6,"No"
"31","IL0054360","Bond","Donnellson (PWS)",75,-75,"No",0,"No"
"32","IL0054720","Bond","Panama (PWS)",0,0,"No",0,"No"
"33","IL0070050","Boone","Belvidere (PWS)",-5,0,"No",-5,"No"
"34","IL0070060","Boone","Greenville Estates MHP (PWS)",-2086,0,"No",-2086,"No"
"35","IL0070100","Boone","Capron (PWS)",0,0,"No",0,"No"
