"","FacilityId","County","FacilityName","Variable","Year_2019","Year_2018","change"
"1","IL0950050","Knox","Abingdon (PWS)","percent_lead",35.5,35.2,0.299999999999997
"2","IL0950050","Knox","Abingdon (PWS)","percent_unknown",6.2,6.2,0
"3","IL0950050","Knox","Abingdon (PWS)","percent_unknownnotlead",0,0,0
"4","IL0950050","Knox","Abingdon (PWS)","Total",1407,1407,0
"5","IL0015350","Adams","ABS Water Coop (PWS)","percent_lead",0,0,0
"6","IL0015350","Adams","ABS Water Coop (PWS)","percent_unknown",0,0,0
"7","IL0015350","Adams","ABS Water Coop (PWS)","percent_unknownnotlead",0,0,0
"8","IL0015350","Adams","ABS Water Coop (PWS)","Total",2750,2725,25
"9","IL1590220","Richland","Acorn Acres MHP (PWS)","percent_lead",0,0,0
"10","IL1590220","Richland","Acorn Acres MHP (PWS)","percent_unknown",0,0,0
"11","IL1590220","Richland","Acorn Acres MHP (PWS)","percent_unknownnotlead",0,0,0
"12","IL1590220","Richland","Acorn Acres MHP (PWS)","Total",22,22,0
"13","IL0015150","Adams","Adams County Water District No 1 (PWS)","percent_lead",0,0,0
"14","IL0015150","Adams","Adams County Water District No 1 (PWS)","percent_unknown",0,0,0
"15","IL0015150","Adams","Adams County Water District No 1 (PWS)","percent_unknownnotlead",0,0,0
"16","IL0015150","Adams","Adams County Water District No 1 (PWS)","Total",336,336,0
"17","IL0430050","DuPage","Addison (PWS)","percent_lead",4.9,5,-0.0999999999999996
"18","IL0430050","DuPage","Addison (PWS)","percent_unknown",0,0,0
"19","IL0430050","DuPage","Addison (PWS)","percent_unknownnotlead",0,0,0
"20","IL0430050","DuPage","Addison (PWS)","Total",9913,9838,75
"21","IL1615185","Rock Island","Air View MHP (PWS)","percent_lead",0,0,0
"22","IL1615185","Rock Island","Air View MHP (PWS)","percent_unknown",0,0,0
"23","IL1615185","Rock Island","Air View MHP (PWS)","percent_unknownnotlead",0,0,0
"24","IL1615185","Rock Island","Air View MHP (PWS)","Total",126,126,0
"25","IL0555120","Franklin","Akin Water District (PWS)","percent_lead",0,0,0
"26","IL0555120","Franklin","Akin Water District (PWS)","percent_unknown",0,0,0
"27","IL0555120","Franklin","Akin Water District (PWS)","percent_unknownnotlead",0,0,0
"28","IL0555120","Franklin","Akin Water District (PWS)","Total",876,876,0
"29","IL1950050","Whiteside","Albany (PWS)","percent_lead",0,0,0
"30","IL1950050","Whiteside","Albany (PWS)","percent_unknown",0,0,0
"31","IL1950050","Whiteside","Albany (PWS)","percent_unknownnotlead",0,0,0
"32","IL1950050","Whiteside","Albany (PWS)","Total",396,396,0
"33","IL0270050","Clinton","Albers (PWS)","percent_lead",0,0,0
"34","IL0270050","Clinton","Albers (PWS)","percent_unknown",95,99.8,-4.8
"35","IL0270050","Clinton","Albers (PWS)","percent_unknownnotlead",0,0,0
"36","IL0270050","Clinton","Albers (PWS)","Total",503,503,0
"37","IL0470050","Edwards","Albion (PWS)","percent_lead",0,0,0
"38","IL0470050","Edwards","Albion (PWS)","percent_unknown",0,0,0
"39","IL0470050","Edwards","Albion (PWS)","percent_unknownnotlead",0,0,0
"40","IL0470050","Edwards","Albion (PWS)","Total",1387,1374,13
"41","IL0971090","Lake","Alden Long Grove Nursing Center (PWS)","percent_lead",0,0,0
"42","IL0971090","Lake","Alden Long Grove Nursing Center (PWS)","percent_unknown",0,0,0
"43","IL0971090","Lake","Alden Long Grove Nursing Center (PWS)","percent_unknownnotlead",0,0,0
"44","IL0971090","Lake","Alden Long Grove Nursing Center (PWS)","Total",3,3,0
"45","IL1310050","Mercer","Aledo (PWS)","percent_lead",0,0,0
"46","IL1310050","Mercer","Aledo (PWS)","percent_unknown",0,39.4,-39.4
"47","IL1310050","Mercer","Aledo (PWS)","percent_unknownnotlead",39.4,0,39.4
"48","IL1310050","Mercer","Aledo (PWS)","Total",1835,1835,0
"49","IL1370020","Morgan","Alexander Water District (PWS)","percent_lead",0,0,0
"50","IL1370020","Morgan","Alexander Water District (PWS)","percent_unknown",0,0,0
"51","IL1370020","Morgan","Alexander Water District (PWS)","percent_unknownnotlead",1.7,2.3,-0.6
"52","IL1370020","Morgan","Alexander Water District (PWS)","Total",174,173,1
"53","IL1874000","Warren","Alexis (PWS)","percent_lead",2.4,2.4,0
"54","IL1874000","Warren","Alexis (PWS)","percent_unknown",1.7,0,1.7
"55","IL1874000","Warren","Alexis (PWS)","percent_unknownnotlead",0,1.7,-1.7
"56","IL1874000","Warren","Alexis (PWS)","Total",417,415,2
"57","IL1110050","McHenry","Algonquin (PWS)","percent_lead",1.9,2.1,-0.2
"58","IL1110050","McHenry","Algonquin (PWS)","percent_unknown",0,0,0
"59","IL1110050","McHenry","Algonquin (PWS)","percent_unknownnotlead",0,0,0
"60","IL1110050","McHenry","Algonquin (PWS)","Total",11014,11014,0
"61","IL1190050","Madison","Alhambra (PWS)","percent_lead",0,0,0
"62","IL1190050","Madison","Alhambra (PWS)","percent_unknown",0,0,0
"63","IL1190050","Madison","Alhambra (PWS)","percent_unknownnotlead",0,0,0
"64","IL1190050","Madison","Alhambra (PWS)","Total",312,318,-6
"65","IL1850050","Wabash","Allendale (PWS)","percent_lead",0,0,0
"66","IL1850050","Wabash","Allendale (PWS)","percent_unknown",47.5,49,-1.5
"67","IL1850050","Wabash","Allendale (PWS)","percent_unknownnotlead",0,0,0
"68","IL1850050","Wabash","Allendale (PWS)","Total",200,200,0
"69","IL0975139","Lake","Allendale Association (PWS)","percent_lead",0,0,0
"70","IL0975139","Lake","Allendale Association (PWS)","percent_unknown",45.8,50,-4.2
"71","IL0975139","Lake","Allendale Association (PWS)","percent_unknownnotlead",0,0,0
"72","IL0975139","Lake","Allendale Association (PWS)","Total",24,24,0
"73","IL1834020","Vermilion","Allerton (PWS)","percent_lead",0,0,0
"74","IL1834020","Vermilion","Allerton (PWS)","percent_unknown",0,100,-100
"75","IL1834020","Vermilion","Allerton (PWS)","percent_unknownnotlead",95.4,0,95.4
"76","IL1834020","Vermilion","Allerton (PWS)","Total",130,130,0
"77","IL1210050","Marion","Alma (PWS)","percent_lead",0,0,0
"78","IL1210050","Marion","Alma (PWS)","percent_unknown",0,0,0
"79","IL1210050","Marion","Alma (PWS)","percent_unknownnotlead",0,0,0
"80","IL1210050","Marion","Alma (PWS)","Total",179,179,0
"81","IL0730050","Henry","Alpha (PWS)","percent_lead",0,0,0
"82","IL0730050","Henry","Alpha (PWS)","percent_unknown",42.5,40.9,1.6
"83","IL0730050","Henry","Alpha (PWS)","percent_unknownnotlead",0,0,0
"84","IL0730050","Henry","Alpha (PWS)","Total",362,362,0
"85","IL0315125","Cook","Alpine Village MHP (PWS)","percent_lead",0,0,0
"86","IL0315125","Cook","Alpine Village MHP (PWS)","percent_unknown",0,0,0
"87","IL0315125","Cook","Alpine Village MHP (PWS)","percent_unknownnotlead",0,0,0
"88","IL0315125","Cook","Alpine Village MHP (PWS)","Total",622,622,0
"89","IL1715050","Scott","Alsey-Glasgow Water Commission (PWS)","percent_lead",0.6,1.1,-0.5
"90","IL1715050","Scott","Alsey-Glasgow Water Commission (PWS)","percent_unknown",18.2,18.2,0
"91","IL1715050","Scott","Alsey-Glasgow Water Commission (PWS)","percent_unknownnotlead",2.2,0,2.2
"92","IL1715050","Scott","Alsey-Glasgow Water Commission (PWS)","Total",181,181,0
"93","IL0310030","Cook","Alsip (PWS)","percent_lead",0,0,0
"94","IL0310030","Cook","Alsip (PWS)","percent_unknown",57.5,0,57.5
"95","IL0310030","Cook","Alsip (PWS)","percent_unknownnotlead",0,71.7,-71.7
"96","IL0310030","Cook","Alsip (PWS)","Total",5566,5589,-23
"97","IL0490050","Effingham","Altamont (PWS)","percent_lead",0,0,0
"98","IL0490050","Effingham","Altamont (PWS)","percent_unknown",84.5,85.5,-1
"99","IL0490050","Effingham","Altamont (PWS)","percent_unknownnotlead",0,0,0
"100","IL0490050","Effingham","Altamont (PWS)","Total",1415,1417,-2
"101","IL1815150","Union","Alto Pass Water District (PWS)","percent_lead",0,0,0
"102","IL1815150","Union","Alto Pass Water District (PWS)","percent_unknown",50.4,52.8,-2.4
"103","IL1815150","Union","Alto Pass Water District (PWS)","percent_unknownnotlead",0,0,0
"104","IL1815150","Union","Alto Pass Water District (PWS)","Total",597,598,-1
"105","IL0950100","Knox","Altona (PWS)","percent_lead",0,0,0
"106","IL0950100","Knox","Altona (PWS)","percent_unknown",0,0,0
"107","IL0950100","Knox","Altona (PWS)","percent_unknownnotlead",0,0,0
"108","IL0950100","Knox","Altona (PWS)","Total",241,241,0
"109","IL1830050","Vermilion","Alvin (PWS)","percent_lead",0,0,0
"110","IL1830050","Vermilion","Alvin (PWS)","percent_unknown",86.9,87.7,-0.799999999999997
