"","FacilityId","County","FacilityName","Variable","Year_2019","Year_2018","change"
"1","IL0950050","Knox","Abingdon (PWS)","Lead",500,495,5
"2","IL0950050","Knox","Abingdon (PWS)","Total",1407,1407,0
"3","IL0950050","Knox","Abingdon (PWS)","Unknown",87,87,0
"4","IL0950050","Knox","Abingdon (PWS)","UnknownNotLead",0,0,0
"5","IL0015350","Adams","ABS Water Coop (PWS)","Lead",0,0,0
"6","IL0015350","Adams","ABS Water Coop (PWS)","Total",2750,2725,25
"7","IL0015350","Adams","ABS Water Coop (PWS)","Unknown",0,0,0
"8","IL0015350","Adams","ABS Water Coop (PWS)","UnknownNotLead",0,0,0
"9","IL1590220","Richland","Acorn Acres MHP (PWS)","Lead",0,0,0
"10","IL1590220","Richland","Acorn Acres MHP (PWS)","Total",22,22,0
"11","IL1590220","Richland","Acorn Acres MHP (PWS)","Unknown",0,0,0
"12","IL1590220","Richland","Acorn Acres MHP (PWS)","UnknownNotLead",0,0,0
"13","IL0015150","Adams","Adams County Water District No 1 (PWS)","Lead",0,0,0
"14","IL0015150","Adams","Adams County Water District No 1 (PWS)","Total",336,336,0
"15","IL0015150","Adams","Adams County Water District No 1 (PWS)","Unknown",0,0,0
"16","IL0015150","Adams","Adams County Water District No 1 (PWS)","UnknownNotLead",0,0,0
"17","IL0430050","DuPage","Addison (PWS)","Lead",487,487,0
"18","IL0430050","DuPage","Addison (PWS)","Total",9913,9838,75
"19","IL0430050","DuPage","Addison (PWS)","Unknown",0,0,0
"20","IL0430050","DuPage","Addison (PWS)","UnknownNotLead",0,0,0
"21","IL1615185","Rock Island","Air View MHP (PWS)","Lead",0,0,0
"22","IL1615185","Rock Island","Air View MHP (PWS)","Total",126,126,0
"23","IL1615185","Rock Island","Air View MHP (PWS)","Unknown",0,0,0
"24","IL1615185","Rock Island","Air View MHP (PWS)","UnknownNotLead",0,0,0
"25","IL0555120","Franklin","Akin Water District (PWS)","Lead",0,0,0
"26","IL0555120","Franklin","Akin Water District (PWS)","Total",876,876,0
"27","IL0555120","Franklin","Akin Water District (PWS)","Unknown",0,0,0
"28","IL0555120","Franklin","Akin Water District (PWS)","UnknownNotLead",0,0,0
"29","IL1950050","Whiteside","Albany (PWS)","Lead",0,0,0
"30","IL1950050","Whiteside","Albany (PWS)","Total",396,396,0
"31","IL1950050","Whiteside","Albany (PWS)","Unknown",0,0,0
"32","IL1950050","Whiteside","Albany (PWS)","UnknownNotLead",0,0,0
"33","IL0270050","Clinton","Albers (PWS)","Lead",0,0,0
"34","IL0270050","Clinton","Albers (PWS)","Total",503,503,0
"35","IL0270050","Clinton","Albers (PWS)","Unknown",478,502,-24
"36","IL0270050","Clinton","Albers (PWS)","UnknownNotLead",0,0,0
"37","IL0470050","Edwards","Albion (PWS)","Lead",0,0,0
"38","IL0470050","Edwards","Albion (PWS)","Total",1387,1374,13
"39","IL0470050","Edwards","Albion (PWS)","Unknown",0,0,0
"40","IL0470050","Edwards","Albion (PWS)","UnknownNotLead",0,0,0
"41","IL0971090","Lake","Alden Long Grove Nursing Center (PWS)","Lead",0,0,0
"42","IL0971090","Lake","Alden Long Grove Nursing Center (PWS)","Total",3,3,0
"43","IL0971090","Lake","Alden Long Grove Nursing Center (PWS)","Unknown",0,0,0
"44","IL0971090","Lake","Alden Long Grove Nursing Center (PWS)","UnknownNotLead",0,0,0
"45","IL1310050","Mercer","Aledo (PWS)","Lead",0,0,0
"46","IL1310050","Mercer","Aledo (PWS)","Total",1835,1835,0
"47","IL1310050","Mercer","Aledo (PWS)","Unknown",0,723,-723
"48","IL1310050","Mercer","Aledo (PWS)","UnknownNotLead",723,0,723
"49","IL1370020","Morgan","Alexander Water District (PWS)","Lead",0,0,0
"50","IL1370020","Morgan","Alexander Water District (PWS)","Total",174,173,1
"51","IL1370020","Morgan","Alexander Water District (PWS)","Unknown",0,0,0
"52","IL1370020","Morgan","Alexander Water District (PWS)","UnknownNotLead",3,4,-1
"53","IL1874000","Warren","Alexis (PWS)","Lead",10,10,0
"54","IL1874000","Warren","Alexis (PWS)","Total",417,415,2
"55","IL1874000","Warren","Alexis (PWS)","Unknown",7,0,7
"56","IL1874000","Warren","Alexis (PWS)","UnknownNotLead",0,7,-7
"57","IL1110050","McHenry","Algonquin (PWS)","Lead",210,232,-22
"58","IL1110050","McHenry","Algonquin (PWS)","Total",11014,11014,0
"59","IL1110050","McHenry","Algonquin (PWS)","Unknown",0,0,0
"60","IL1110050","McHenry","Algonquin (PWS)","UnknownNotLead",0,0,0
"61","IL1190050","Madison","Alhambra (PWS)","Lead",0,0,0
"62","IL1190050","Madison","Alhambra (PWS)","Total",312,318,-6
"63","IL1190050","Madison","Alhambra (PWS)","Unknown",0,0,0
"64","IL1190050","Madison","Alhambra (PWS)","UnknownNotLead",0,0,0
"65","IL1850050","Wabash","Allendale (PWS)","Lead",0,0,0
"66","IL1850050","Wabash","Allendale (PWS)","Total",200,200,0
"67","IL1850050","Wabash","Allendale (PWS)","Unknown",95,98,-3
"68","IL1850050","Wabash","Allendale (PWS)","UnknownNotLead",0,0,0
"69","IL0975139","Lake","Allendale Association (PWS)","Lead",0,0,0
"70","IL0975139","Lake","Allendale Association (PWS)","Total",24,24,0
"71","IL0975139","Lake","Allendale Association (PWS)","Unknown",11,12,-1
"72","IL0975139","Lake","Allendale Association (PWS)","UnknownNotLead",0,0,0
"73","IL1834020","Vermilion","Allerton (PWS)","Lead",0,0,0
"74","IL1834020","Vermilion","Allerton (PWS)","Total",130,130,0
"75","IL1834020","Vermilion","Allerton (PWS)","Unknown",0,130,-130
"76","IL1834020","Vermilion","Allerton (PWS)","UnknownNotLead",124,0,124
"77","IL1210050","Marion","Alma (PWS)","Lead",0,0,0
"78","IL1210050","Marion","Alma (PWS)","Total",179,179,0
"79","IL1210050","Marion","Alma (PWS)","Unknown",0,0,0
"80","IL1210050","Marion","Alma (PWS)","UnknownNotLead",0,0,0
"81","IL0730050","Henry","Alpha (PWS)","Lead",0,0,0
"82","IL0730050","Henry","Alpha (PWS)","Total",362,362,0
"83","IL0730050","Henry","Alpha (PWS)","Unknown",154,148,6
"84","IL0730050","Henry","Alpha (PWS)","UnknownNotLead",0,0,0
"85","IL0315125","Cook","Alpine Village MHP (PWS)","Lead",0,0,0
"86","IL0315125","Cook","Alpine Village MHP (PWS)","Total",622,622,0
"87","IL0315125","Cook","Alpine Village MHP (PWS)","Unknown",0,0,0
"88","IL0315125","Cook","Alpine Village MHP (PWS)","UnknownNotLead",0,0,0
"89","IL1715050","Scott","Alsey-Glasgow Water Commission (PWS)","Lead",1,2,-1
"90","IL1715050","Scott","Alsey-Glasgow Water Commission (PWS)","Total",181,181,0
"91","IL1715050","Scott","Alsey-Glasgow Water Commission (PWS)","Unknown",33,33,0
"92","IL1715050","Scott","Alsey-Glasgow Water Commission (PWS)","UnknownNotLead",4,0,4
"93","IL0310030","Cook","Alsip (PWS)","Lead",0,0,0
"94","IL0310030","Cook","Alsip (PWS)","Total",5566,5589,-23
"95","IL0310030","Cook","Alsip (PWS)","Unknown",3203,0,3203
"96","IL0310030","Cook","Alsip (PWS)","UnknownNotLead",0,4009,-4009
"97","IL0490050","Effingham","Altamont (PWS)","Lead",0,0,0
"98","IL0490050","Effingham","Altamont (PWS)","Total",1415,1417,-2
"99","IL0490050","Effingham","Altamont (PWS)","Unknown",1195,1211,-16
"100","IL0490050","Effingham","Altamont (PWS)","UnknownNotLead",0,0,0
"101","IL1815150","Union","Alto Pass Water District (PWS)","Lead",0,0,0
"102","IL1815150","Union","Alto Pass Water District (PWS)","Total",597,598,-1
"103","IL1815150","Union","Alto Pass Water District (PWS)","Unknown",301,316,-15
"104","IL1815150","Union","Alto Pass Water District (PWS)","UnknownNotLead",0,0,0
"105","IL0950100","Knox","Altona (PWS)","Lead",0,0,0
"106","IL0950100","Knox","Altona (PWS)","Total",241,241,0
"107","IL0950100","Knox","Altona (PWS)","Unknown",0,0,0
"108","IL0950100","Knox","Altona (PWS)","UnknownNotLead",0,0,0
"109","IL1830050","Vermilion","Alvin (PWS)","Lead",0,0,0
"110","IL1830050","Vermilion","Alvin (PWS)","Total",122,122,0
"111","IL1830050","Vermilion","Alvin (PWS)","Unknown",106,107,-1
"112","IL1830050","Vermilion","Alvin (PWS)","UnknownNotLead",0,0,0
"113","IL1030050","Lee","Amboy (PWS)","Lead",34,34,0
"114","IL1030050","Lee","Amboy (PWS)","Total",938,936,2
"115","IL1030050","Lee","Amboy (PWS)","Unknown",746,746,0
"116","IL1030050","Lee","Amboy (PWS)","UnknownNotLead",0,0,0
"117","IL1635237","St. Clair","American Water - Scott Air Force Base (PWS)","Lead",0,0,0
"118","IL1635237","St. Clair","American Water - Scott Air Force Base (PWS)","Total",276,6779,-6503
"119","IL1635237","St. Clair","American Water - Scott Air Force Base (PWS)","Unknown",0,0,0
"120","IL1635237","St. Clair","American Water - Scott Air Force Base (PWS)","UnknownNotLead",0,2539,-2539
"121","IL1130050","McLean","Anchor (PWS)","Lead",0,0,0
"122","IL1130050","McLean","Anchor (PWS)","Total",78,78,0
"123","IL1130050","McLean","Anchor (PWS)","Unknown",3,3,0
"124","IL1130050","McLean","Anchor (PWS)","UnknownNotLead",0,0,0
"125","IL1610050","Rock Island","Andalusia (PWS)","Lead",0,0,0
"126","IL1610050","Rock Island","Andalusia (PWS)","Total",481,481,0
"127","IL1610050","Rock Island","Andalusia (PWS)","Unknown",50,50,0
"128","IL1610050","Rock Island","Andalusia (PWS)","UnknownNotLead",0,0,0
"129","IL0730100","Henry","Andover (PWS)","Lead",0,0,0
"130","IL0730100","Henry","Andover (PWS)","Total",254,254,0
"131","IL0730100","Henry","Andover (PWS)","Unknown",35,27,8
"132","IL0730100","Henry","Andover (PWS)","UnknownNotLead",0,0,0
"133","IL1810050","Union","Anna (PWS)","Lead",1,1,0
"134","IL1810050","Union","Anna (PWS)","Total",2130,2116,14
"135","IL1810050","Union","Anna (PWS)","Unknown",1692,1678,14
"136","IL1810050","Union","Anna (PWS)","UnknownNotLead",0,0,0
"137","IL1815050","Union","Anna-Jonesboro Water Commission (PWS)","Lead",0,0,0
"138","IL1815050","Union","Anna-Jonesboro Water Commission (PWS)","Total",18,19,-1
"139","IL1815050","Union","Anna-Jonesboro Water Commission (PWS)","Unknown",0,0,0
"140","IL1815050","Union","Anna-Jonesboro Water Commission (PWS)","UnknownNotLead",0,0,0
"141","IL0730150","Henry","Annawan (PWS)","Lead",0,0,0
"142","IL0730150","Henry","Annawan (PWS)","Total",440,440,0
"143","IL0730150","Henry","Annawan (PWS)","Unknown",0,0,0
"144","IL0730150","Henry","Annawan (PWS)","UnknownNotLead",0,0,0
"145","IL0970050","Lake","Antioch (PWS)","Lead",201,198,3
"146","IL0970050","Lake","Antioch (PWS)","Total",4719,4659,60
"147","IL0970050","Lake","Antioch (PWS)","Unknown",0,0,0
"148","IL0970050","Lake","Antioch (PWS)","UnknownNotLead",0,0,0
"149","IL1370040","Morgan","Apple Creek Water Coop (PWS)","Lead",0,0,0
"150","IL1370040","Morgan","Apple Creek Water Coop (PWS)","Total",367,366,1
"151","IL1370040","Morgan","Apple Creek Water Coop (PWS)","Unknown",0,0,0
"152","IL1370040","Morgan","Apple Creek Water Coop (PWS)","UnknownNotLead",20,20,0
"153","IL0850050","Jo Daviess","Apple River (PWS)","Lead",0,0,0
"154","IL0850050","Jo Daviess","Apple River (PWS)","Total",183,189,-6
"155","IL0850050","Jo Daviess","Apple River (PWS)","Unknown",79,91,-12
"156","IL0850050","Jo Daviess","Apple River (PWS)","UnknownNotLead",0,0,0
"157","IL1115600","McHenry","Aqau Illinois - Nunda (PWS)","Lead",0,0,0
"158","IL1115600","McHenry","Aqau Illinois - Nunda (PWS)","Total",194,189,5
"159","IL1115600","McHenry","Aqau Illinois - Nunda (PWS)","Unknown",194,0,194
"160","IL1115600","McHenry","Aqau Illinois - Nunda (PWS)","UnknownNotLead",0,187,-187
"161","IL0075050","Boone","Aqua Illinois - Candlewick Division (PWS)","Lead",0,0,0
"162","IL0075050","Boone","Aqua Illinois - Candlewick Division (PWS)","Total",1895,1895,0
"163","IL0075050","Boone","Aqua Illinois - Candlewick Division (PWS)","Unknown",0,0,0
"164","IL0075050","Boone","Aqua Illinois - Candlewick Division (PWS)","UnknownNotLead",0,0,0
"165","IL0975450","Lake","Aqua Illinois - Fairhaven Estates (PWS)","Lead",0,0,0
"166","IL0975450","Lake","Aqua Illinois - Fairhaven Estates (PWS)","Total",99,99,0
"167","IL0975450","Lake","Aqua Illinois - Fairhaven Estates (PWS)","Unknown",0,0,0
"168","IL0975450","Lake","Aqua Illinois - Fairhaven Estates (PWS)","UnknownNotLead",92,92,0
"169","IL0975040","Lake","Aqua Illinois - Hawthorn Woods (PWS)","Lead",0,0,0
"170","IL0975040","Lake","Aqua Illinois - Hawthorn Woods (PWS)","Total",1000,983,17
"171","IL0975040","Lake","Aqua Illinois - Hawthorn Woods (PWS)","Unknown",0,0,0
