FacilityId,County,FacilityName,ReportedDate,ReportingYear,TotalServiceConnections,WholesaleConnections,RetailConnections,ServicesLead,ServicesUnknownMaterial,ServicesCopperLeadSolder,ServicesGalvanized,ServicesUnknownNotLead,ServicesCopperNonLeadSolder,ServicesCastDuctileIronTransite,ServicesPlastic,NAME,OBJECTID_1,NAME_1,CLASS_1,POP2012_1,FAC_TYPE,FAC_X,FAC_Y,SOURCE,SOURCE_2,SW_TYPE,SW_ORIGIN,GW_TYPE,GW_ORIGIN,BUYS_FROM,SELLER_FAC,SELLER_X,SELLER_Y,REPORTED_P,SS_2012_GA,P_2012_GAL,TOTAL_2012,SS_2012_MG,P_2012_MGD,Shape_Leng,Shape_Area
IL0950050,Knox,Abingdon (PWS),5/16/19 13:19,2018,1407,0,1407,495,87,10,50,0,700,0,65,Abingdon,286,Abingdon,city,3312,municipality,2751842.257,2831066.515,groundwater,groundwater,,,mixed sand and gravel and c-o sandstone,,Galesburg,IL0950200,2759695.251,2884699.221,NO,,,,,,41381.05378,40251992
IL0430050,DuPage,Addison (PWS),4/4/19 13:34,2018,9838,0,9838,487,0,0,0,0,9351,0,0,Addison,649,Addison,village,36805,municipality,3410976.749,3238937.299,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,DuPage Water Commission,IL0435400,3400000,3215000,YES,10658400,1206702000,1217360400,0.029181109,3.303770021,292023.633,275827636.3
IL1950050,Whiteside,Albany (PWS),4/10/19 10:21,2018,396,0,396,0,0,390,6,0,0,0,0,Albany,458,Albany,village,881,municipality,2805450.061,3186871.082,groundwater,groundwater,,,mixed sand and gravel and c-o sandstone,,,,,,YES,27027000,0,27027000,0.073995893,0,29383.01879,29615199.06
IL0270050,Clinton,Albers (PWS),4/26/19 13:55,2018,503,1,502,0,502,0,0,0,0,0,1,Albers,1223,Albers,village,1178,municipality,2967511.225,2011539.693,surface water,surface water,river,Mississippi River,,,New Baden,IL0274700,2943632.103,2009051.053,YES,0,43464000,43464000,0,0.118997947,39979.20633,23321569.42
IL0470050,Edwards,Albion (PWS),3/15/19 11:05,2018,1374,4,1370,0,0,0,0,0,892,0,482,Albion,1353,Albion,city,2098,municipality,3411116.169,1953751.023,groundwater,groundwater,,,sand and gravel,,,,,,YES,204900000,0,204900000,0.560985626,0,90614.47975,60550821.67
IL1310050,Mercer,Aledo (PWS),4/13/19 9:42,2018,1835,0,1835,0,723,0,0,0,1038,0,74,Aledo,437,Aledo,city,3690,municipality,2657682.001,2974511.765,groundwater,groundwater,,,c-o sandstone,,,,,,NO,,,,,,69960.21648,65967468.87
IL1874000,Warren,Alexis (PWS),4/29/19 8:23,2018,415,0,415,10,0,298,0,7,0,0,100,Alexis,421,Alexis,village,862,municipality,2710397.389,2925475.553,groundwater,groundwater,,,c-o sandstone,,,,,,YES,33662000,0,33662000,0.092161533,0,18692.98584,13104201.84
IL1110050,McHenry,Algonquin (PWS),3/22/19 13:10,2018,11014,0,11014,232,0,3099,0,0,7683,0,0,Algonquin,677,Algonquin,village,30225,municipality,3319874.11,3324837.601,groundwater,groundwater,,,mixed sand and gravel and shallow bedrock and c-o sandstone,,,,,,YES,1019464000,0,1019464000,2.791140315,0,224616.8754,343095140.4
IL1190050,Madison,Alhambra (PWS),4/26/19 15:26,2018,318,0,318,0,0,131,2,0,11,0,174,Alhambra,1213,Alhambra,village,664,municipality,2933242.287,2135650.507,mixed,mixed,river,Mississippi River,sand and gravel,American Bottoms,Bond-Madison Water,IL0050020,2952034,2125342,YES,16221000,6120000,22341000,0.044410678,0.016755647,23393.02996,21096279.83
IL1850050,Wabash,Allendale (PWS),5/30/19 15:40,2018,200,0,200,0,98,0,13,0,3,0,86,Allendale,1340,Allendale,village,484,municipality,3509237.242,2010171.512,groundwater,groundwater,,,shallow bedrock,,,,,,YES,14285000,0,14285000,0.039110198,0,12251.52701,8507893.549
