FacilityId,County,Place,Class,FacilityName,ReportedDate,ReportingYear,TotalServiceConnections,WholesaleConnections,RetailConnections,ServicesLead,ServicesUnknownMaterial,ServicesCopperLeadSolder,ServicesGalvanized,ServicesUnknownNotLead,ServicesCopperNonLeadSolder,ServicesCastDuctileIronTransite,ServicesPlastic
IL0950050,Knox,Abingdon,city,Abingdon (PWS),5/16/19 13:19,2018,1407,0,1407,495,87,10,50,0,700,0,65
IL0430050,DuPage,Addison,village,Addison (PWS),4/4/19 13:34,2018,9838,0,9838,487,0,0,0,0,9351,0,0
IL1950050,Whiteside,Albany,village,Albany (PWS),4/10/19 10:21,2018,396,0,396,0,0,390,6,0,0,0,0
IL0270050,Clinton,Albers,village,Albers (PWS),4/26/19 13:55,2018,503,1,502,0,502,0,0,0,0,0,1
IL0470050,Edwards,Albion,city,Albion (PWS),3/15/19 11:05,2018,1374,4,1370,0,0,0,0,0,892,0,482
IL1310050,Mercer,Aledo,city,Aledo (PWS),4/13/19 9:42,2018,1835,0,1835,0,723,0,0,0,1038,0,74
IL1874000,Warren,Alexis,village,Alexis (PWS),4/29/19 8:23,2018,415,0,415,10,0,298,0,7,0,0,100
IL1110050,McHenry,Algonquin,village,Algonquin (PWS),3/22/19 13:10,2018,11014,0,11014,232,0,3099,0,0,7683,0,0
IL1190050,Madison,Alhambra,village,Alhambra (PWS),4/26/19 15:26,2018,318,0,318,0,0,131,2,0,11,0,174
IL1850050,Wabash,Allendale,village,Allendale (PWS),5/30/19 15:40,2018,200,0,200,0,98,0,13,0,3,0,86
IL1834020,Vermilion,Allerton,village,Allerton (PWS),3/29/19 23:48,2018,130,0,130,0,130,0,0,0,0,0,0
IL1210050,Marion,Alma,village,Alma (PWS),8/2/19 9:28,2018,179,0,179,0,0,0,0,0,140,0,39
IL0730050,Henry,Alpha,village,Alpha (PWS),4/10/19 12:15,2018,362,0,362,0,148,0,1,0,169,0,44
IL0310030,Cook,Alsip,village,Alsip (PWS),4/15/19 19:04,2018,5589,2,5587,0,0,1562,0,4009,15,2,1
IL0490050,Effingham,Altamont,city,Altamont (PWS),4/16/19 9:18,2018,1417,0,1417,0,1211,0,0,0,66,1,139
IL0950100,Knox,Altona,village,Altona (PWS),5/6/19 13:07,2018,241,0,241,0,0,50,0,0,0,0,191
IL1830050,Vermilion,Alvan,village,Alvin (PWS),3/21/19 10:58,2018,122,0,122,0,107,0,0,0,4,0,11
IL1030050,Lee,Amboy,city,Amboy (PWS),3/19/19 11:33,2018,936,0,936,34,746,11,2,0,109,0,34
IL1130050,McLean,Anchor,village,Anchor (PWS),5/21/19 11:00,2018,78,0,78,0,3,13,10,0,0,0,52
IL1610050,Rock Island,Andalusia,village,Andalusia (PWS),3/28/19 21:42,2018,481,0,481,0,50,0,0,0,400,0,31
IL0730100,Henry,Andover,village,Andover (PWS),4/14/19 22:01,2018,254,0,254,0,27,52,0,0,12,0,163
IL1810050,Union,Anna,city,Anna (PWS),4/10/19 15:09,2018,2116,0,2116,1,1678,83,52,0,28,0,274
IL0730150,Henry,Annawan,town,Annawan (PWS),1/9/19 8:05,2018,440,0,440,0,0,0,0,0,438,0,2
IL0970050,Lake,Antioch,village,Antioch (PWS),4/9/19 19:13,2018,4659,0,4659,198,0,0,0,0,4459,0,2
IL0850050,Jo Daviess,Apple River,village,Apple River (PWS),4/5/19 11:10,2018,189,0,189,0,91,64,0,0,0,0,34
IL0410050,Douglas,Arcola,city,Arcola (PWS),5/21/19 11:38,2018,1403,2,1401,95,0,150,50,28,290,0,790
IL0170050,Cass,Arenzville,village,Arenzville (PWS),4/12/19 13:55,2018,192,0,192,0,25,105,0,0,0,0,62
IL1150050,Macon,Argenta,village,Argenta (PWS),4/29/19 14:16,2018,439,0,439,0,0,0,0,0,434,5,0
IL0110050,Bureau,Arlington,village,Arlington (PWS),5/9/19 6:25,2018,68,0,68,0,11,0,0,0,11,0,46
