FacilityId,County,FacilityName,ReportedDate,ReportingYear,TotalServiceConnections,WholesaleConnections,RetailConnections,ServicesLead,ServicesUnknownMaterial,ServicesCopperLeadSolder,ServicesGalvanized,ServicesUnknownNotLead,ServicesCopperNonLeadSolder,ServicesCastDuctileIronTransite,ServicesPlastic,Place,STATEFP,PLACEFP,PLACENS,GEOID,Place,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
IL1815150,Union,Alto Pass Water District (PWS),4/12/2019 10:53:18 AM,2018,598,0,598,0,316,0,0,0,2,0,280,Alto Pass Water District,17,1205,2397948,1701205,Alto Pass,Alto Pass village,47,C1,N,N,G4110,A,5526046,78539,37.5736544,-89.319546
IL1635237,St. Clair,American Water - Scott Air Force Base (PWS),3/14/2019 8:55:35 AM,2018,6779,0,6779,0,0,0,0,2539,1086,0,3154,American Water - Scott Air Force Base,17,68328,2393227,1768328,Scott AFB,Scott AFB CDP,57,M2,N,N,G4210,S,11182273,71982,38.5429744,-89.8521267
IL0075050,Boone,Aqua Illinois - Candlewick Division (PWS),5/13/2019 2:07:03 PM,2018,1895,0,1895,0,0,0,0,0,63,0,1832,Candlewick Division,17,10936,2727440,1710936,Candlewick Lake,Candlewick Lake CDP,57,U1,N,N,G4210,S,4787674,746741,42.3511082,-88.870408
IL0955200,Knox,Aqua Illinois - Oak Run (PWS),4/3/2019 12:46:21 PM,2018,755,0,755,0,0,0,0,603,0,0,152,Oak Run,17,54924,2628556,1754924,Oak Run,Oak Run CDP,57,U1,N,N,G4210,S,9156983,2262871,40.9637282,-90.1288233
IL0190600,Champaign,Aqua Illinois - Philo (PWS),4/10/2019 2:29:57 PM,2018,603,0,603,0,603,0,0,0,0,0,0,Philo,17,59533,2399666,1759533,Philo,Philo village,47,C1,N,N,G4110,A,2146860,0,40.0033327,-88.1563878
IL0910720,Kankakee,Aqua Illinois - Sun River Terrace (PWS),5/1/2019 11:41:03 AM,2018,201,0,201,0,200,0,0,0,1,0,0,Sun River Terrace,17,73943,2399933,1773943,Sun River Terrace,Sun River Terrace village,47,C1,N,N,G4110,A,1473042,3829,41.1234094,-87.7332994
IL1830500,Vermilion,Aqua Illinois-Indianola (PWS),4/10/2019 2:37:26 PM,2018,123,0,123,0,123,0,0,0,0,0,0,Indianola,17,37348,2398573,1737348,Indianola,Indianola village,47,C1,N,N,G4110,A,1005993,0,39.9270635,-87.7402415
IL0915030,Kankakee,Aqua Illinois-Kankakee (PWS),5/1/2019 11:51:54 AM,2018,34345,0,34345,5,32661,417,41,0,503,664,54,Kankakee,17,38934,2395489,1738934,Kankakee,Kankakee city,25,C1,Y,N,G4110,A,38872989,1237094,41.101654,-87.8636903
IL1975030,Will,Aqua Illinois-University Park (PWS),12/2/2019 12:00:00 AM,2018,2676,0,2676,0,1654,502,5,241,261,13,0,University Park,17,76935,2400029,1776935,University Park,University Park village,47,C1,N,N,G4110,A,27907573,5723,41.4468945,-87.712969
L0750100,Iroquois,Beaverville (PWS),4/15/2019 6:51:24 PM,2018,172,0,172,0,167,0,0,0,5,0,0,Beaverville,17,4507,2398062,1704507,Beaverville,Beaverville village,47,C1,N,N,G4110,A,722034,6287,40.9534531,-87.6550091
IL1835250,Vermilion,Bismarck Community Water District (PWS),3/13/2019 1:51:24 PM,2018,337,0,337,0,0,37,0,0,0,0,300,Bismarck Community Water District,17,6184,2398128,1706184,Bismarck,Bismarck village,47,C1,N,N,G4110,A,1925570,0,40.2594344,-87.6112603
IL1150020,Macon,Boody Community Water Company (PWS),4/11/2019 2:36:05 PM,2018,148,0,148,0,0,0,0,0,148,0,0,Boody Community Water Company,17,7315,2628544,1707315,Boody,Boody CDP,57,U1,N,N,G4210,S,2631259,0,39.7654895,-89.047239
IL2015050,Winnebago,Bradley Heights Subdivision (PWS),4/30/2019 12:11:12 PM,2018,52,0,52,0,52,0,0,0,0,0,0,Bradley Heights Subdivision,17,7744,2398163,1707744,Bradley,Bradley village,47,C1,N,N,G4110,A,17891939,0,41.16428,-87.8450324
IL0110100,Bureau,Buda (PWS),4/15/2019 1:37:29 PM,2018,241,0,241,162,10,0,3,0,39,0,27,Buda,17,9356,2397488,1709356,Buda,Buda village,47,C1,N,N,G4110,A,2602478,0,41.3291044,-89.6791063
IL0775420,Jackson,Buncombe Water District (PWS),4/15/2019 9:19:48 PM,2018,402,0,402,0,103,0,0,0,1,0,298,Buncombe Water District,17,9551,2397494,1709551,Buncombe,Buncombe village,47,C1,N,N,G4110,A,3075550,33770,37.4711164,-88.9746599
IL1615150,Rock Island,Coyne Center Coop (PWS),4/12/2019 1:24:50 PM,2018,50,0,50,0,0,0,0,0,50,0,0,Coyne Center Coop,17,17077,2393388,1717077,Coyne Center,Coyne Center CDP,57,U1,N,N,G4210,S,4219552,0,41.4001858,-90.563242
IL1997037,Williamson,Crab Orchard Refuge (PWS),4/16/2019 8:58:14 AM,2018,7,1,6,0,0,0,6,0,0,1,0,Crab Orchard Refuge,17,17094,2628548,1717094,Crab Orchard,Crab Orchard CDP,57,U1,N,N,G4210,S,3614305,90639,37.723611,-88.8102807
IL1975480,Will,Crystal Lawns Addition Improvement Assoc (PWS),4/29/2019 11:59:50 AM,2018,410,0,410,0,0,0,0,0,0,0,410,Crystal Lawns Addition Improvement Assoc,17,17939,2393390,1717939,Crystal Lawns,Crystal Lawns CDP,57,U1,N,N,G4210,S,1708431,0,41.5685262,-88.1639029
IL0430350,DuPage,Elmhurst (PWS),4/16/2019 12:58:10 PM,2018,15416,15416,0,1321,1114,0,707,0,12274,0,0,Elmhurst,17,23620,2394673,1723620,Elmhurst,Elmhurst city,25,C1,N,N,G4110,A,26565390,153074,41.8970138,-87.9436567
IL1970130,Will,Godley Public Water District (PWS),4/4/2019 10:14:39 AM,2018,237,0,237,0,1,0,0,0,236,0,0,Godley Public Water District,17,30120,2398985,1730120,Godley,Godley village,47,C1,N,N,G4110,A,2805657,2435,41.2443774,-88.2426202
IL1555100,Putnam,Hennepin PWD (PWS),3/29/2019 10:26:40 AM,2018,320,0,320,0,0,0,0,0,240,0,80,Hennepin,17,34098,2398489,1734098,Hennepin,Hennepin village,47,C1,N,N,G4110,A,13744049,917012,41.2505267,-89.314094
