GEOID,NAME,total,total_hispanic,total_hispanic_perc,mexican,mexican_perc,PR,PR_perc,cuban,cuban_perc,hispanic_other,hispanic_other_perc,total_nothisp,total_nothisp_perc,white,white_perc,black,black_perc,native,native_perc,asian,asian_perc,PI,PI_perc
1600000US1700113,"Abingdon city, Illinois",3452,33,1,33,1,0,0,0,0,0,0,3419,99,3302,95.7,27,0.8,0,0,0,0,0,0
1600000US1700178,"Adair CDP, Illinois",201,0,0,0,0,0,0,0,0,0,0,201,100,201,100,0,0,0,0,0,0,0,0
1600000US1700230,"Addieville village, Illinois",344,0,0,0,0,0,0,0,0,0,0,344,100,331,96.2,0,0,0,0,0,0,3,0.9
1600000US1700243,"Addison village, Illinois",37089,15075,40.6,12844,34.6,797,2.1,67,0.2,1367,3.7,22014,59.4,16564,44.7,1405,3.8,33,0.1,3473,9.4,0,0
1600000US1700295,"Adeline village, Illinois",111,2,1.8,1,0.9,0,0,0,0,1,0.9,109,98.2,107,96.4,2,1.8,0,0,0,0,0,0
1600000US1700516,"Albany village, Illinois",979,47,4.8,41,4.2,0,0,0,0,6,0.6,932,95.2,932,95.2,0,0,0,0,0,0,0,0
1600000US1700555,"Albers village, Illinois",1184,127,10.7,127,10.7,0,0,0,0,0,0,1057,89.3,1016,85.8,0,0,0,0,0,0,0,0
1600000US1700568,"Albion city, Illinois",2034,56,2.8,0,0,14,0.7,0,0,42,2.1,1978,97.2,1913,94.1,32,1.6,0,0,20,1,0,0
1600000US1700646,"Aledo city, Illinois",3520,46,1.3,23,0.7,0,0,23,0.7,0,0,3474,98.7,3373,95.8,43,1.2,0,0,30,0.9,0,0
1600000US1700672,"Alexis village, Illinois",885,13,1.5,13,1.5,0,0,0,0,0,0,872,98.5,854,96.5,0,0,0,0,0,0,0,0
1600000US1700685,"Algonquin village, Illinois",30709,1932,6.3,1386,4.5,298,1,21,0.1,227,0.7,28777,93.7,25371,82.6,406,1.3,19,0.1,2565,8.4,0,0
1600000US1700737,"Alhambra village, Illinois",628,2,0.3,2,0.3,0,0,0,0,0,0,626,99.7,626,99.7,0,0,0,0,0,0,0,0
1600000US1700815,"Allendale village, Illinois",698,41,5.9,34,4.9,0,0,0,0,7,1,657,94.1,657,94.1,0,0,0,0,0,0,0,0
1600000US1700867,"Allenville village, Illinois",180,31,17.2,31,17.2,0,0,0,0,0,0,149,82.8,147,81.7,0,0,0,0,0,0,0,0
1600000US1700880,"Allerton village, Illinois",312,3,1,0,0,3,1,0,0,0,0,309,99,296,94.9,4,1.3,0,0,2,0.6,0,0
1600000US1700919,"Alma village, Illinois",327,0,0,0,0,0,0,0,0,0,0,327,100,323,98.8,0,0,0,0,1,0.3,0,0
1600000US1700958,"Alorton village, Illinois",1965,17,0.9,0,0,4,0.2,0,0,13,0.7,1948,99.1,15,0.8,1930,98.2,0,0,3,0.2,0,0
1600000US1700971,"Alpha village, Illinois",555,12,2.2,7,1.3,5,0.9,0,0,0,0,543,97.8,525,94.6,0,0,0,0,0,0,0,0
1600000US1700997,"Alsey village, Illinois",145,0,0,0,0,0,0,0,0,0,0,145,100,140,96.6,5,3.4,0,0,0,0,0,0
1600000US1701010,"Alsip village, Illinois",19179,4209,21.9,3803,19.8,92,0.5,41,0.2,273,1.4,14970,78.1,10222,53.3,4244,22.1,25,0.1,217,1.1,0,0
1600000US1701049,"Altamont city, Illinois",2260,0,0,0,0,0,0,0,0,0,0,2260,100,2242,99.2,9,0.4,0,0,0,0,0,0
1600000US1701114,"Alton city, Illinois",26884,667,2.5,506,1.9,111,0.4,0,0,50,0.2,26217,97.5,18561,69,6479,24.1,24,0.1,113,0.4,0,0
1600000US1701140,"Altona village, Illinois",642,16,2.5,0,0,0,0,0,0,16,2.5,626,97.5,588,91.6,32,5,0,0,3,0.5,0,0
1600000US1701205,"Alto Pass village, Illinois",278,94,33.8,94,33.8,0,0,0,0,0,0,184,66.2,183,65.8,0,0,0,0,1,0.4,0,0
1600000US1701242,"Alvan village, Illinois",312,1,0.3,1,0.3,0,0,0,0,0,0,311,99.7,306,98.1,0,0,4,1.3,0,0,0,0
