GEOID,NAME,total,onerace_white,onerace_white_perc,onerace_black,onerace_black_perc
1600000US1700113,"Abingdon city, Illinois",3452,3335,96.6,27,0.8
1600000US1700178,"Adair CDP, Illinois",201,201,100,0,0
1600000US1700230,"Addieville village, Illinois",344,331,96.2,0,0
1600000US1700243,"Addison village, Illinois",37089,26533,71.5,1424,3.8
1600000US1700295,"Adeline village, Illinois",111,109,98.2,2,1.8
1600000US1700516,"Albany village, Illinois",979,975,99.6,0,0
1600000US1700555,"Albers village, Illinois",1184,1143,96.5,0,0
1600000US1700568,"Albion city, Illinois",2034,1921,94.4,32,1.6
1600000US1700646,"Aledo city, Illinois",3520,3397,96.5,43,1.2
1600000US1700672,"Alexis village, Illinois",885,867,98,0,0
1600000US1700685,"Algonquin village, Illinois",30709,26825,87.4,420,1.4
1600000US1700737,"Alhambra village, Illinois",628,626,99.7,0,0
1600000US1700815,"Allendale village, Illinois",698,664,95.1,0,0
1600000US1700867,"Allenville village, Illinois",180,178,98.9,0,0
1600000US1700880,"Allerton village, Illinois",312,299,95.8,4,1.3
1600000US1700919,"Alma village, Illinois",327,323,98.8,0,0
1600000US1700958,"Alorton village, Illinois",1965,19,1,1930,98.2
1600000US1700971,"Alpha village, Illinois",555,537,96.8,0,0
1600000US1700997,"Alsey village, Illinois",145,140,96.6,5,3.4
1600000US1701010,"Alsip village, Illinois",19179,12818,66.8,4402,23
1600000US1701049,"Altamont city, Illinois",2260,2242,99.2,9,0.4
1600000US1701114,"Alton city, Illinois",26884,19086,71,6487,24.1
1600000US1701140,"Altona village, Illinois",642,604,94.1,32,5
1600000US1701205,"Alto Pass village, Illinois",278,226,81.3,0,0
1600000US1701242,"Alvan village, Illinois",312,307,98.4,0,0
1600000US1701270,"Amboy city, Illinois",2455,2371,96.6,16,0.7
1600000US1701361,"Anchor village, Illinois",175,175,100,0,0
1600000US1701426,"Andalusia village, Illinois",1113,1065,95.7,20,1.8
1600000US1701491,"Andover village, Illinois",563,553,98.2,0,0
1600000US1701543,"Anna city, Illinois",4232,3797,89.7,153,3.6
1600000US1701556,"Annapolis CDP, Illinois",43,43,100,0,0
1600000US1701569,"Annawan town, Illinois",895,850,95,18,2
1600000US1701595,"Antioch village, Illinois",14305,12701,88.8,501,3.5
1600000US1701647,"Apple Canyon Lake CDP, Illinois",429,429,100,0,0
1600000US1701673,"Apple River village, Illinois",415,385,92.8,1,0.2
1600000US1701881,"Arcola city, Illinois",2680,2393,89.3,26,1
1600000US1701946,"Arenzville village, Illinois",465,440,94.6,0,0
1600000US1701972,"Argenta village, Illinois",1140,1059,92.9,5,0.4
1600000US1702102,"Arlington village, Illinois",212,183,86.3,5,2.4
1600000US1702154,"Arlington Heights village, Illinois",75724,64147,84.7,1148,1.5
1600000US1702206,"Armington village, Illinois",370,356,96.2,0,0
