GEO_ID,NAME,DP05_0033E,DP05_0034E,DP05_0034PE,DP05_0035E,DP05_0035PE,DP05_0037E,DP05_0037PE,DP05_0038E,DP05_0038PE,DP05_0039E,DP05_0039PE,DP05_0044E,DP05_0044PE,DP05_0045E,DP05_0045PE,DP05_0046E,DP05_0046PE,DP05_0047E,DP05_0047PE,DP05_0048E,DP05_0048PE,DP05_0049E,DP05_0049PE,DP05_0050E,DP05_0050PE,DP05_0051E,DP05_0051PE,DP05_0052E,DP05_0052PE,DP05_0053E,DP05_0053PE,DP05_0054E,DP05_0054PE,DP05_0055E,DP05_0055PE,DP05_0056E,DP05_0056PE,DP05_0057E,DP05_0057PE,DP05_0059E,DP05_0059PE,DP05_0060E,DP05_0060PE,DP05_0061E,DP05_0061PE,DP05_0061PM,DP05_0062E,DP05_0062PE,DP05_0063E,DP05_0063PE,DP05_0064E,DP05_0064PE,DP05_0065E,DP05_0065PE,DP05_0066E,DP05_0066PE,DP05_0067E,DP05_0067PE,DP05_0068E,DP05_0068PE,DP05_0069E,DP05_0069PE,DP05_0070E,DP05_0070PE,DP05_0071E,DP05_0071PE,DP05_0072E,DP05_0072PE,DP05_0073E,DP05_0073PE,DP05_0074E,DP05_0074PE,DP05_0075E,DP05_0075PE,DP05_0076E,DP05_0076PE,DP05_0077E,DP05_0077PE,DP05_0078E,DP05_0078PE,DP05_0079E,DP05_0079PE,DP05_0080E,DP05_0080PE,DP05_0081E,DP05_0081PE,DP05_0082E,DP05_0082PE,DP05_0083E,DP05_0083PE,DP05_0084E,DP05_0084PE,DP05_0085E,DP05_0085PE,DP05_0086E
id,Geographic Area Name,total,onerace_total,onerace_perc,tworaces_total,tworaces_perc,onerace_white,onerace_white_perc,onerace_black,onerace_black_perc,onerace_native,onerace_native_perc,onerace_asian,onerace_asian_perc,onerace_asian_indian,onerace_asian_indian_perc,onerace_asian_chinese,onerace_asian_chinese_perc,onerace_asian_filipino,onerace_asian_filipino_perc,onerace_asian_japanese,onerace_asian_japanese_perc,onerace_asian_korean,onerace_asian_korean_perc,onerace_asian_vietnamese,onerace_asian_vietnamese_perc,onerace_asian_other,onerace_asian_other_perc,onerace_PI,onerace_PI_perc,onerace_PI_hawaiian,onerace_PI_hawaiian_perc,onerace_PI_guamanian,onerace_PI_guamanian_perc,onerace_PI_samoan,onerace_PI_samoan_perc,onerace_PI_other,onerace_PI_other_perc,onerace_other,onerace_other_perc,tworaces_whiteandblack,tworaces_whiteandblack_perc,tworaces_whiteandnative,tworaces_whiteandnative_perc,Estimate!!RACE!!Total population!!Two or more races!!White and Asian,Percent Estimate!!RACE!!Total population!!Two or more races!!White and Asian,Percent Margin of Error!!RACE!!Total population!!Two or more races!!White and Asian,Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population,Percent Estimate!!Race alone or in combination with one or more other races!!Total population,Estimate!!Race alone or in combination with one or more other races!!Total population!!White,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!White,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!Race alone or in combination with one or more other races!!Total population!!Some other race,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Some other race,total,total_perc,latino_total,latino_total_perc,latino_mexican,latino_mexican_perc,latino_PR,latino_PR_perc,latino_cuban,latino_cuban_perc,latino_other,latino_other_perc,notlatino_total,notlatino_total_perc,notlatino_white,notlatino_white_perc,notlatino_black,notlatino_black_perc,notlatino_native,notlatino_native_perc,notlatino_asian,notlatino_asian_perc,notlatino_PI,notlatino_PI_perc,notlatino_other,notlatino_other_perc,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",total_HU
1600000US1700113,"Abingdon city, Illinois",3452,3362,97.4,90,2.6,3335,96.6,27,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.8,62,1.8,0,0,0.8,0,0,3452,3452,3425,99.2,55,1.6,62,1.8,0,0,0,0,0,0,3452,3452,33,1,33,1,0,0,0,0,0,0,3419,99,3302,95.7,27,0.8,0,0,0,0,0,0,0,0,90,2.6,0,0,90,2.6,1420
1600000US1700178,"Adair CDP, Illinois",201,201,100,0,0,201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,201,201,201,100,0,0,0,0,0,0,0,0,0,0,201,201,0,0,0,0,0,0,0,0,0,0,201,100,201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
1600000US1700230,"Addieville village, Illinois",344,334,97.1,10,2.9,331,96.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9,0,0,0,0,0,0,3,0.9,0,0,0,0,10,2.9,0,0,7.7,0,0,344,344,341,99.1,0,0,10,2.9,0,0,3,0.9,0,0,344,344,0,0,0,0,0,0,0,0,0,0,344,100,331,96.2,0,0,0,0,0,0,3,0.9,0,0,10,2.9,0,0,10,2.9,144
1600000US1700243,"Addison village, Illinois",37089,35955,96.9,1134,3.1,26533,71.5,1424,3.8,108,0.3,3531,9.5,2145,5.8,77,0.2,644,1.7,8,0,72,0.2,166,0.4,419,1.1,0,0,0,0,0,0,0,0,0,0,4359,11.8,341,0.9,233,0.6,98,0.3,0.2,0,0,37089,37089,27566,74.3,1812,4.9,379,1,3733,10.1,38,0.1,4758,12.8,37089,37089,15075,40.6,12844,34.6,797,2.1,67,0.2,1367,3.7,22014,59.4,16564,44.7,1405,3.8,33,0.1,3473,9.4,0,0,41,0.1,498,1.3,11,0,487,1.3,13137
1600000US1700295,"Adeline village, Illinois",111,111,100,0,0,109,98.2,2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7,0,0,111,111,109,98.2,2,1.8,0,0,0,0,0,0,0,0,111,111,2,1.8,1,0.9,0,0,0,0,1,0.9,109,98.2,107,96.4,2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
1600000US1700516,"Albany village, Illinois",979,977,99.8,2,0.2,975,99.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,2,0.2,0,0,2.8,0,0,979,979,977,99.8,0,0,2,0.2,0,0,0,0,2,0.2,979,979,47,4.8,41,4.2,0,0,0,0,6,0.6,932,95.2,932,95.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457
1600000US1700555,"Albers village, Illinois",1184,1143,96.5,41,3.5,1143,96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3.5,0,0,0,0,2.3,0,0,1184,1184,1184,100,41,3.5,0,0,0,0,0,0,0,0,1184,1184,127,10.7,127,10.7,0,0,0,0,0,0,1057,89.3,1016,85.8,0,0,0,0,0,0,0,0,0,0,41,3.5,0,0,41,3.5,443
1600000US1700568,"Albion city, Illinois",2034,2007,98.7,27,1.3,1921,94.4,32,1.6,34,1.7,20,1,3,0.1,9,0.4,0,0,0,0,4,0.2,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.6,0,0,0,0,1.3,0,0,2034,2034,1948,95.8,45,2.2,34,1.7,20,1,14,0.7,14,0.7,2034,2034,56,2.8,0,0,14,0.7,0,0,42,2.1,1978,97.2,1913,94.1,32,1.6,0,0,20,1,0,0,0,0,13,0.6,0,0,13,0.6,1001
1600000US1700646,"Aledo city, Illinois",3520,3492,99.2,28,0.8,3397,96.5,43,1.2,0,0,41,1.2,0,0,0,0,19,0.5,11,0.3,0,0,11,0.3,0,0,0,0,0,0,0,0,0,0,0,0,11,0.3,11,0.3,0,0,17,0.5,0.3,0,0,3520,3520,3425,97.3,54,1.5,0,0,58,1.6,0,0,11,0.3,3520,3520,46,1.3,23,0.7,0,0,23,0.7,0,0,3474,98.7,3373,95.8,43,1.2,0,0,30,0.9,0,0,0,0,28,0.8,0,0,28,0.8,1751
