GEO_ID,NAME,DP05_0032E,DP05_0032PE,DP05_0033E,DP05_0033PE,DP05_0034E,DP05_0034PE,DP05_0035E,DP05_0035PE,DP05_0036E,DP05_0036PE,DP05_0037E,DP05_0037PE,DP05_0038E,DP05_0038PE,DP05_0039E,DP05_0039PE,DP05_0040E,DP05_0040PE,DP05_0041E,DP05_0041PE,DP05_0042E,DP05_0042PE,DP05_0043E,DP05_0043PE,DP05_0044E,DP05_0044PE,DP05_0045E,DP05_0045PE,DP05_0046E,DP05_0046PE,DP05_0047E,DP05_0047PE,DP05_0048E,DP05_0048PE,DP05_0049E,DP05_0049PE,DP05_0050E,DP05_0050PE,DP05_0051E,DP05_0051PE,DP05_0052E,DP05_0052PE,DP05_0053E,DP05_0053PE,DP05_0054E,DP05_0054PE,DP05_0055E,DP05_0055PE,DP05_0056E,DP05_0056PE,DP05_0057E,DP05_0057PE,DP05_0058E,DP05_0058PE,DP05_0059E,DP05_0059PE,DP05_0060E,DP05_0060PE,DP05_0061E,DP05_0061PE,DP05_0061PM,DP05_0062E,DP05_0062PE,DP05_0063E,DP05_0063PE,DP05_0064E,DP05_0064PE,DP05_0065E,DP05_0065PE,DP05_0066E,DP05_0066PE,DP05_0067E,DP05_0067PE,DP05_0068E,DP05_0068PE,DP05_0069E,DP05_0069PE,DP05_0070E,DP05_0070PE,DP05_0071E,DP05_0071PE,DP05_0072E,DP05_0072PE,DP05_0073E,DP05_0073PE,DP05_0074E,DP05_0074PE,DP05_0075E,DP05_0075PE,DP05_0076E,DP05_0076PE,DP05_0077E,DP05_0077PE,DP05_0078E,DP05_0078PE,DP05_0079E,DP05_0079PE,DP05_0080E,DP05_0080PE,DP05_0081E,DP05_0081PE,DP05_0082E,DP05_0082PE,DP05_0083E,DP05_0083PE,DP05_0084E,DP05_0084PE,DP05_0085E,DP05_0085PE,DP05_0086E,DP05_0086PE,DP05_0087E,DP05_0087PE,DP05_0088E,DP05_0088PE,DP05_0089E,DP05_0089PE,DP05_0001E,DP05_0001PE,DP05_0002E,DP05_0002PE,DP05_0003E,DP05_0003PE,DP05_0004E,DP05_0004PE,DP05_0005E,DP05_0005PE,DP05_0006E,DP05_0006PE,DP05_0007E,DP05_0007PE,DP05_0008E,DP05_0008PE,DP05_0009E,DP05_0009PE,DP05_0010E,DP05_0010PE,DP05_0011E,DP05_0011PE,DP05_0012E,DP05_0012PE,DP05_0013E,DP05_0013PE,DP05_0014E,DP05_0014PE,DP05_0015E,DP05_0015PE,DP05_0016E,DP05_0016PE,DP05_0017E,DP05_0017PE,DP05_0018E,DP05_0018PE,DP05_0019E,DP05_0019PE,DP05_0020E,DP05_0020PE,DP05_0021E,DP05_0021PE,DP05_0022E,DP05_0022PE,DP05_0023E,DP05_0023PE,DP05_0024E,DP05_0024PE,DP05_0025E,DP05_0025PE,DP05_0026E,DP05_0026PE,DP05_0027E,DP05_0027PE,DP05_0028E,DP05_0028PE,DP05_0029E,DP05_0029PE,DP05_0030E,DP05_0030PE,DP05_0031E,DP05_0031PE
id,Geographic Area Name,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),Percent Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),Estimate!!RACE!!Total population,Percent Estimate!!RACE!!Total population,Estimate!!RACE!!Total population!!One race,Percent Estimate!!RACE!!Total population!!One race,Estimate!!RACE!!Total population!!Two or more races,Percent Estimate!!RACE!!Total population!!Two or more races,Estimate!!RACE!!Total population!!One race,Percent Estimate!!RACE!!Total population!!One race,Estimate!!RACE!!Total population!!One race!!White,Percent Estimate!!RACE!!Total population!!One race!!White,Estimate!!RACE!!Total population!!One race!!Black or African American,Percent Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,Estimate!!RACE!!Total population!!One race!!Asian,Percent Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,Estimate!!RACE!!Total population!!One race!!Asian!!Korean,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Korean,Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Estimate!!RACE!!Total population!!One race!!Some other race,Percent Estimate!!RACE!!Total population!!One race!!Some other race,Estimate!!RACE!!Total population!!Two or more races,Percent Estimate!!RACE!!Total population!!Two or more races,Estimate!!RACE!!Total population!!Two or more races!!White and Black or African American,Percent Estimate!!RACE!!Total population!!Two or more races!!White and Black or African American,Estimate!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,Estimate!!RACE!!Total population!!Two or more races!!White and Asian,Percent Estimate!!RACE!!Total population!!Two or more races!!White and Asian,Percent Margin of Error!!RACE!!Total population!!Two or more races!!White and Asian,Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population,Percent Estimate!!Race alone or in combination with one or more other races!!Total population,Estimate!!Race alone or in combination with one or more other races!!Total population!!White,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!White,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!Race alone or in combination with one or more other races!!Total population!!Some other race,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Some other race,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",Estimate!!Total housing units,Percent Estimate!!Total housing units,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","Percent Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","Percent Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","Percent Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female",Estimate!!SEX AND AGE!!Total population,Percent Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Percent Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Percent Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Estimate!!SEX AND AGE!!Total population!!Under 5 years,Percent Estimate!!SEX AND AGE!!Total population!!Under 5 years,Estimate!!SEX AND AGE!!Total population!!5 to 9 years,Percent Estimate!!SEX AND AGE!!Total population!!5 to 9 years,Estimate!!SEX AND AGE!!Total population!!10 to 14 years,Percent Estimate!!SEX AND AGE!!Total population!!10 to 14 years,Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Percent Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Percent Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Estimate!!SEX AND AGE!!Total population!!25 to 34 years,Percent Estimate!!SEX AND AGE!!Total population!!25 to 34 years,Estimate!!SEX AND AGE!!Total population!!35 to 44 years,Percent Estimate!!SEX AND AGE!!Total population!!35 to 44 years,Estimate!!SEX AND AGE!!Total population!!45 to 54 years,Percent Estimate!!SEX AND AGE!!Total population!!45 to 54 years,Estimate!!SEX AND AGE!!Total population!!55 to 59 years,Percent Estimate!!SEX AND AGE!!Total population!!55 to 59 years,Estimate!!SEX AND AGE!!Total population!!60 to 64 years,Percent Estimate!!SEX AND AGE!!Total population!!60 to 64 years,Estimate!!SEX AND AGE!!Total population!!65 to 74 years,Percent Estimate!!SEX AND AGE!!Total population!!65 to 74 years,Estimate!!SEX AND AGE!!Total population!!75 to 84 years,Percent Estimate!!SEX AND AGE!!Total population!!75 to 84 years,Estimate!!SEX AND AGE!!Total population!!85 years and over,Percent Estimate!!SEX AND AGE!!Total population!!85 years and over,Estimate!!SEX AND AGE!!Total population!!Median age (years),Percent Estimate!!SEX AND AGE!!Total population!!Median age (years),Estimate!!SEX AND AGE!!Total population!!Under 18 years,Percent Estimate!!SEX AND AGE!!Total population!!Under 18 years,Estimate!!SEX AND AGE!!Total population!!16 years and over,Percent Estimate!!SEX AND AGE!!Total population!!16 years and over,Estimate!!SEX AND AGE!!Total population!!18 years and over,Percent Estimate!!SEX AND AGE!!Total population!!18 years and over,Estimate!!SEX AND AGE!!Total population!!21 years and over,Percent Estimate!!SEX AND AGE!!Total population!!21 years and over,Estimate!!SEX AND AGE!!Total population!!62 years and over,Percent Estimate!!SEX AND AGE!!Total population!!62 years and over,Estimate!!SEX AND AGE!!Total population!!65 years and over,Percent Estimate!!SEX AND AGE!!Total population!!65 years and over,Estimate!!SEX AND AGE!!Total population!!18 years and over,Percent Estimate!!SEX AND AGE!!Total population!!18 years and over,Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,Percent Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,Percent Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),Percent Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),Estimate!!SEX AND AGE!!Total population!!65 years and over,Percent Estimate!!SEX AND AGE!!Total population!!65 years and over,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,Percent Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,Percent Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female
1600000US1700113,"Abingdon city, Illinois",69.4,(X),3452,3452,3362,97.4,90,2.6,3362,97.4,3335,96.6,27,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2.6,28,0.8,62,1.8,0,0,0.8,0,0,3452,3452,3425,99.2,55,1.6,62,1.8,0,0,0,0,0,0,3452,3452,33,1,33,1,0,0,0,0,0,0,3419,99,3302,95.7,27,0.8,0,0,0,0,0,0,0,0,90,2.6,0,0,90,2.6,1420,(X),2685,2685,1166,43.4,1519,56.6,3452,3452,1514,43.9,1938,56.1,78.1,(X),138,4,223,6.5,297,8.6,178,5.2,220,6.4,552,16,398,11.5,484,14,211,6.1,158,4.6,295,8.5,226,6.5,72,2.1,38.1,(X),767,22.2,2731,79.1,2685,77.8,2574,74.6,675,19.6,593,17.2,2685,2685,1166,43.4,1519,56.6,76.8,(X),593,593,243,41,350,59
1600000US1700178,"Adair CDP, Illinois",56,(X),201,201,201,100,0,0,201,100,201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,201,201,201,100,0,0,0,0,0,0,0,0,0,0,201,201,0,0,0,0,0,0,0,0,0,0,201,100,201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,(X),194,194,104,53.6,90,46.4,201,201,111,55.2,90,44.8,123.3,(X),0,0,0,0,7,3.5,0,0,6,3,28,13.9,13,6.5,61,30.3,47,23.4,0,0,23,11.4,8,4,8,4,54.5,(X),7,3.5,194,96.5,194,96.5,194,96.5,39,19.4,39,19.4,194,194,104,53.6,90,46.4,115.6,(X),39,39,14,35.9,25,64.1
1600000US1700230,"Addieville village, Illinois",68.4,(X),344,344,334,97.1,10,2.9,334,97.1,331,96.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9,0,0,0,0,0,0,3,0.9,0,0,10,2.9,0,0,10,2.9,0,0,7.7,0,0,344,344,341,99.1,0,0,10,2.9,0,0,3,0.9,0,0,344,344,0,0,0,0,0,0,0,0,0,0,344,100,331,96.2,0,0,0,0,0,0,3,0.9,0,0,10,2.9,0,0,10,2.9,144,(X),262,262,138,52.7,124,47.3,344,344,170,49.4,174,50.6,97.7,(X),17,4.9,32,9.3,14,4.1,49,14.2,10,2.9,40,11.6,62,18,31,9,35,10.2,22,6.4,24,7,4,1.2,4,1.2,36.8,(X),82,23.8,276,80.2,262,76.2,226,65.7,36,10.5,32,9.3,262,262,138,52.7,124,47.3,111.3,(X),32,32,13,40.6,19,59.4
1600000US1700243,"Addison village, Illinois",72.2,(X),37089,37089,35955,96.9,1134,3.1,35955,96.9,26533,71.5,1424,3.8,108,0.3,0,0,33,0.1,0,0,0,0,3531,9.5,2145,5.8,77,0.2,644,1.7,8,0,72,0.2,166,0.4,419,1.1,0,0,0,0,0,0,0,0,0,0,4359,11.8,1134,3.1,341,0.9,233,0.6,98,0.3,0.2,0,0,37089,37089,27566,74.3,1812,4.9,379,1,3733,10.1,38,0.1,4758,12.8,37089,37089,15075,40.6,12844,34.6,797,2.1,67,0.2,1367,3.7,22014,59.4,16564,44.7,1405,3.8,33,0.1,3473,9.4,0,0,41,0.1,498,1.3,11,0,487,1.3,13137,(X),22877,22877,10969,47.9,11908,52.1,37089,37089,18272,49.3,18817,50.7,97.1,(X),2657,7.2,2503,6.7,2450,6.6,2622,7.1,2260,6.1,5355,14.4,4813,13,5033,13.6,2397,6.5,1956,5.3,2865,7.7,1648,4.4,530,1.4,36.3,(X),9030,24.3,28945,78,28059,75.7,26402,71.2,6083,16.4,5043,13.6,28059,28059,13796,49.2,14263,50.8,96.7,(X),5043,5043,2115,41.9,2928,58.1
1600000US1700295,"Adeline village, Illinois",52.9,(X),111,111,111,100,0,0,111,100,109,98.2,2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7,0,0,111,111,109,98.2,2,1.8,0,0,0,0,0,0,0,0,111,111,2,1.8,1,0.9,0,0,0,0,1,0.9,109,98.2,107,96.4,2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,(X),87,87,45,51.7,42,48.3,111,111,55,49.5,56,50.5,98.2,(X),8,7.2,3,2.7,8,7.2,5,4.5,10,9,8,7.2,14,12.6,9,8.1,7,6.3,13,11.7,12,10.8,12,10.8,2,1.8,44.8,(X),24,21.6,92,82.9,87,78.4,87,78.4,30,27,26,23.4,87,87,45,51.7,42,48.3,107.1,(X),26,26,9,34.6,17,65.4
1600000US1700516,"Albany village, Illinois",80.3,(X),979,979,977,99.8,2,0.2,977,99.8,975,99.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,2,0.2,0,0,2,0.2,0,0,2.8,0,0,979,979,977,99.8,0,0,2,0.2,0,0,0,0,2,0.2,979,979,47,4.8,41,4.2,0,0,0,0,6,0.6,932,95.2,932,95.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,(X),756,756,357,47.2,399,52.8,979,979,467,47.7,512,52.3,91.2,(X),48,4.9,78,8,57,5.8,62,6.3,16,1.6,174,17.8,73,7.5,114,11.6,41,4.2,51,5.2,157,16,69,7,39,4,42.8,(X),221,22.6,782,79.9,758,77.4,734,75,297,30.3,265,27.1,758,758,359,47.4,399,52.6,90,(X),265,265,118,44.5,147,55.5
1600000US1700555,"Albers village, Illinois",54.9,(X),1184,1184,1143,96.5,41,3.5,1143,96.5,1143,96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3.5,41,3.5,0,0,0,0,2.3,0,0,1184,1184,1184,100,41,3.5,0,0,0,0,0,0,0,0,1184,1184,127,10.7,127,10.7,0,0,0,0,0,0,1057,89.3,1016,85.8,0,0,0,0,0,0,0,0,0,0,41,3.5,0,0,41,3.5,443,(X),804,804,391,48.6,413,51.4,1184,1184,645,54.5,539,45.5,119.7,(X),72,6.1,84,7.1,140,11.8,101,8.5,45,3.8,104,8.8,196,16.6,195,16.5,64,5.4,56,4.7,89,7.5,17,1.4,21,1.8,37.7,(X),380,32.1,845,71.4,804,67.9,776,65.5,160,13.5,127,10.7,804,804,391,48.6,413,51.4,94.7,(X),127,127,45,35.4,82,64.6
1600000US1700568,"Albion city, Illinois",53.2,(X),2034,2034,2007,98.7,27,1.3,2007,98.7,1921,94.4,32,1.6,34,1.7,0,0,0,0,0,0,0,0,20,1,3,0.1,9,0.4,0,0,0,0,4,0.2,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1.3,13,0.6,0,0,0,0,1.3,0,0,2034,2034,1948,95.8,45,2.2,34,1.7,20,1,14,0.7,14,0.7,2034,2034,56,2.8,0,0,14,0.7,0,0,42,2.1,1978,97.2,1913,94.1,32,1.6,0,0,20,1,0,0,0,0,13,0.6,0,0,13,0.6,1001,(X),1495,1495,695,46.5,800,53.5,2034,2034,1004,49.4,1030,50.6,97.5,(X),126,6.2,121,5.9,175,8.6,152,7.5,113,5.6,193,9.5,233,11.5,264,13,111,5.5,120,5.9,208,10.2,133,6.5,85,4.2,40.2,(X),536,26.4,1604,78.9,1498,73.6,1430,70.3,498,24.5,426,20.9,1498,1498,695,46.4,803,53.6,86.6,(X),426,426,148,34.7,278,65.3
1600000US1700646,"Aledo city, Illinois",74.7,(X),3520,3520,3492,99.2,28,0.8,3492,99.2,3397,96.5,43,1.2,0,0,0,0,0,0,0,0,0,0,41,1.2,0,0,0,0,19,0.5,11,0.3,0,0,11,0.3,0,0,0,0,0,0,0,0,0,0,0,0,11,0.3,28,0.8,11,0.3,0,0,17,0.5,0.3,0,0,3520,3520,3425,97.3,54,1.5,0,0,58,1.6,0,0,11,0.3,3520,3520,46,1.3,23,0.7,0,0,23,0.7,0,0,3474,98.7,3373,95.8,43,1.2,0,0,30,0.9,0,0,0,0,28,0.8,0,0,28,0.8,1751,(X),2824,2824,1370,48.5,1454,51.5,3520,3520,1696,48.2,1824,51.8,93,(X),195,5.5,172,4.9,183,5.2,212,6,197,5.6,357,10.1,363,10.3,408,11.6,282,8,199,5.7,425,12.1,300,8.5,227,6.4,46.6,(X),691,19.6,2921,83,2829,80.4,2731,77.6,1043,29.6,952,27,2829,2829,1375,48.6,1454,51.4,94.6,(X),952,952,407,42.8,545,57.2
