"FacilityId","County","FacilityName","ReportedDate","ReportingYear","TotalServiceConnections","WholesaleConnections","RetailConnections","ServicesLead","ServicesUnknownMaterial","ServicesCopperLeadSolder","ServicesGalvanized","ServicesUnknownNotLead","ServicesCopperNonLeadSolder","ServicesCastDuctileIronTransite","ServicesPlastic"
"IL1590250","Richland","Parkersburg (PWS)","7/30/2020 12:00:00 AM","2017","169","0","169","0","169","0","0","0","0","0","0"
"IL1135130","McLean","Willow Creek North MHP (PWS)","7/5/2020 10:06:21 PM","2019","99","0","99","0","0","0","0","0","0","0","99"
"IL1955165","Whiteside","Riverside Estates MHP (PWS)","7/2/2020 12:00:00 AM","2019","110","1","109","0","0","0","29","0","34","0","47"
"IL0755389","Iroquois","Presence Merkle Kniprath Home (PWS)","6/23/2020 10:29:44 AM","2019","1","0","1","0","0","0","0","0","0","0","1"
"IL0875510","Johnson","Vienna Correctional Center (PWS)","6/22/2020 1:11:14 PM","2019","1","1","0","0","0","0","0","0","0","0","1"
"IL0110200","Bureau","Cherry (PWS)","6/17/2020 10:36:31 AM","2019","254","0","254","0","0","0","50","0","200","0","4"
"IL1415285","Ogle","Shangri-La MHP (PWS)","6/16/2020 11:37:51 AM","2019","149","0","149","0","0","0","0","0","0","0","149"
"IL0313180","Cook","Western Springs (PWS)","6/15/2020 2:55:44 PM","2019","4562","4500","62","341","1128","3093","0","0","0","0","0"
"IL0310720","Cook","Ford Heights (PWS)","6/15/2020 1:59:44 PM","2019","477","0","477","0","477","0","0","0","0","0","0"
"IL0317789","Cook","Oak Forest Health Center (PWS)","6/15/2020 1:46:38 PM","2019","9","0","9","0","9","0","0","0","0","0","0"
"IL0312490","Cook","Phoenix (PWS)","6/15/2020 1:45:27 PM","2019","583","0","583","0","583","0","0","0","0","0","0"
"IL0310660","Cook","Dixmoor (PWS)","6/15/2020 1:38:40 PM","2019","655","0","655","488","0","0","0","0","167","0","0"
"IL1330050","Monroe","Columbia (PWS)","6/9/2020 12:50:23 PM","2019","4024","1","4023","0","0","0","3","3470","323","3","225"
"IL1610650","Rock Island","Rock Island (PWS)","6/9/2020 12:21:49 PM","2019","17480","2737","14743","88","17271","115","0","0","0","0","6"
"IL0550650","Franklin","West City (PWS)","6/9/2020 12:07:01 PM","2019","330","0","330","0","0","0","0","0","300","0","30"
"IL0555030","Franklin","Royalton (PWS)","6/9/2020 11:07:01 AM","2019","693","691","2","0","691","0","0","0","0","0","2"
"IL0150250","Carroll","Savanna (PWS)","6/8/2020 10:19:44 AM","2019","1454","0","1454","0","1414","0","0","0","28","5","7"
"IL1350350","Montgomery","Irving (PWS)","6/8/2020 9:58:15 AM","2019","211","0","211","0","0","0","0","0","61","0","150"
"IL0450100","Edgar","Chrisman (PWS)","6/5/2020 4:01:37 PM","2019","615","0","615","0","0","550","0","0","50","0","15"
"IL1675150","Sangamon","Mechanicsburg-Buffalo Water Commission (PWS)","6/5/2020 11:15:23 AM","2019","470","0","470","0","0","0","4","0","341","0","125"
"IL1670400","Sangamon","Dawson (PWS)","6/5/2020 11:12:53 AM","2019","825","0","825","0","825","0","0","0","0","0","0"
"IL0311050","Cook","Glenwood (PWS)","6/5/2020 9:22:29 AM","2019","2884","0","2884","9","236","0","0","0","2639","0","0"
"IL1450300","Perry","Willisville (PWS)","6/5/2020 8:10:10 AM","2019","400","0","400","0","352","0","2","0","21","0","25"
"IL0550300","Franklin","North City (PWS)","6/4/2020 3:11:02 PM","2019","367","0","367","0","367","0","0","0","0","0","0"
